CLUES,CLAVE DE LA INSTITUCION,NOMBRE DE LA INSTITUCION,CLAVE DE LA ENTIDAD,ENTIDAD,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,CLAVE DE LA JURISDICCION,JURISDICCION,CLAVE DEL TIPO ESTABLECIMIENTO,NOMBRE TIPO ESTABLECIMIENTO,CLAVE DE TIPOLOGIA,NOMBRE DE TIPOLOGIA,CLAVE DE SUBTIPOLOGIA,NOMBRE DE SUBTIPOLOGIA,NOMBRE DE LA UNIDAD,NOMBRE COMERCIAL,CLAVE TIPO DE VIALIDAD,CODIGO POSTAL,OBSERVACIONES DE LA DIRECCION,CLAVE ESTATUS DE OPERACION,ESTATUS DE OPERACION,RFC DEL ESTABLECIMIENTO,TELEFONO 1 DEL ESTABLECIMIENTO,CLAVE DE LA INS ADM,NOMBRE DE LA INS ADM,CLAVE NIVEL ATENCION,NIVEL ATENCION,CLAVE ESTRATO UNIDAD,ESTRATO UNIDAD,CLAVE PROPIEDAD DEL INMUEBLE,PROPIEDAD DEL INMUEBLE,LATITUD,LONGITUD,CLAVE ULTIMO MOVIMIENTO,ULTIMO MOVIMIENTO,FECHA ULTIMO MOVIMIENTO
DFCIJ000011,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,1,VENUSTIANO CARRANZA,16,VENUSTIANO CARRANZA,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",CIJ VENUSTIANO CARRANZA,5,15530,,1,EN OPERACION,CIJ731003QK3,5557621399,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,1,PROPIO,19.438437,-99.092784,A,ALTA,16/10/2018
DFCIJ000023,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,15,CUAUHTEMOC,1,CUAUHTEMOC,15,CUAUHTÉMOC,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",CIJ CUAUHTÉMOC ORIENTE,6,6020,,1,EN OPERACION,CIJ731003QK3,5557020732,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,3,DE COMODATO,19.43732,-99.127412,A,ALTA,16/10/2018
DFCIJ000035,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,1,CUAJIMALPA DE MORELOS,7,CUAJIMALPA,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",CIJ CUAJIMALPA,5,5000,,1,EN OPERACION,CIJ731003QK3,5558131631,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,1,PROPIO,19.3578,-99.292889,A,ALTA,16/10/2018
DFCIJ000040,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,3,COYOACAN,1,COYOACAN,4,COYOACÁN,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",CIJ COYOACÁN,5,4100,,1,EN OPERACION,CIJ731003QK3,5555544985,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,1,PROPIO,19.357125,-99.155485,A,ALTA,16/10/2018
DFCIJ000052,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,14,BENITO JUAREZ,1,BENITO JUAREZ,14,BENITO JUÁREZ,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",CIJ BENITO JUÁREZ,5,3100,,1,EN OPERACION,CIJ731003QK3,5555439267,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,1,PROPIO,19.397184,-99.16474,A,ALTA,16/10/2018
DFCIJ000064,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,1,AZCAPOTZALCO,2,AZCAPOTZALCO,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",CIJ AZCAPOTZALCO,5,2130,,1,EN OPERACION,CIJ731003QK3,5553820553,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,3,DE COMODATO,19.499,-99.199336,A,ALTA,16/10/2018
DFCIJ000076,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,1,MIGUEL HIDALGO,13,MIGUEL HIDALGO,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,CENTRO DE INTEGRACION JUVENIL A.C. UNIDAD OPERATIVA MIGUEL HIDALGO,CENTRO DE INTEGRACION JUVENIL A.C. UNIDAD OPERATIVA MIGUEL HIDALGO,5,11300,SIN REFERENCIAS,1,EN OPERACION,XAXX111111XAX,5552605805,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,,,19.4343757,-99.1748614,A,ALTA,29/03/2021
DFCIJ000081,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,12,TLALPAN,1,TLALPAN,8,TLALPAN,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,CENTRO DE INTEGRACION JUVENIL A.C. UNIDAD OPERATIVA TLALPAN,CENTRO DE INTEGRACION JUVENIL A.C. UNIDAD OPERATIVA TLALPAN,5,14629,SIN REFERENCIAS,1,EN OPERACION,XAXX111111XAX,5554859062,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,,,19.2852276,-99.1586077,A,ALTA,29/03/2021
DFCIJ000093,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,10,ALVARO OBREGON,1,ALVARO OBREGON,5,ÁLVARO OBREGÓN,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,CENTRO DE INTEGRACION JUVENIL A.C. UNIDAD OPERATIVA ALVARO OBREGÓN CENTRO,CENTRO DE INTEGRACION JUVENIL A.C. UNIDAD OPERATIVA ALVARO OBREGÓN CENTRO,5,1298,SIN REFERENCIAS,1,EN OPERACION,XAXX111111XAX,5552764488,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,,,19.3674286,-99.2318888,A,ALTA,29/03/2021
DFCIJ000105,CIJ,CENTROS DE INTEGRACION JUVENIL,9,CIUDAD DE MEXICO,7,IZTAPALAPA,1,IZTAPALAPA,9,IZTAPALAPA,1,DE CONSULTA EXTERNA,CPA,CENTRO DE PREVENCION EN ADICCIONES,99,NO ESPECIFICADO,CENTRO DE INTEGRACION JUVENIL A.C. IZTAPALAPA ORIENTE,CENTRO DE INTEGRACION JUVENIL A.C. IZTAPALAPA ORIENTE,5,9260,SIN REFERENCIAS,1,EN OPERACION,XAXX111111XAX,5556133794,CIJ,CENTROS DE INTEGRACION JUVENIL,1,PRIMER NIVEL,2,URBANO,,,19.3471388,-99.0659768,A,ALTA,29/03/2021
