nivel,lat,lng
PRIMARIA,19.362292,-98.99543
PRIMARIA,19.397174,-99.067538
PRIMARIA,19.314399,-99.074271
SECUNDARIA,19.287937,-99.135498
PREESCOLAR,19.50999,-99.12658
PREESCOLAR,19.384658,-99.170772
PREESCOLAR,19.455154,-99.19085
PREESCOLAR,19.394777,-99.16058
PRIMARIA,19.3959,-99.0976
PRIMARIA,19.310871,-99.104396
PRIMARIA,19.3908,-99.1954
PREESCOLAR,19.48551,-99.19302
PREESCOLAR,19.3908,-99.1954
PRIMARIA,19.428615,-99.119629
PRIMARIA,19.438608,-99.085695
PRIMARIA,19.431581,-99.214034
PRIMARIA,19.368449,-99.012973
PRIMARIA,19.295213,-99.057319
INICIAL,19.4829,-99.1135
PRIMARIA,19.376594,-99.173984
PRIMARIA,19.369344,-99.072638
PRIMARIA,19.525975,-99.172438
INICIAL,19.467105,-99.179229
PRIMARIA,19.343409,-99.108052
SECUNDARIA,19.346126,-99.038725
PRIMARIA,19.403711,-99.190563
SECUNDARIA,19.380039,-99.130457
PRIMARIA,19.497819,-99.079355
PREESCOLAR,19.459468,-99.130641
PRIMARIA,19.339551,-99.13954
PRIMARIA,19.353124,-99.290014
PREESCOLAR,19.304347,-99.144895
PREESCOLAR,19.472192,-99.109145
PREESCOLAR,19.339342,-99.069958
PREESCOLAR,19.214498,-98.992727
PREESCOLAR,19.381298,-99.22001
PRIMARIA,19.507804,-99.189692
INICIAL,19.3908,-99.1954
PREESCOLAR,19.30137,-99.121109
PRIMARIA,19.369308,-99.130032
PRIMARIA,19.218341,-99.205892
INICIAL,19.35128,-99.047184
PRIMARIA,19.45665,-99.138374
PRIMARIA,19.330908,-98.966461
PRIMARIA,19.406335,-99.06954
SECUNDARIA,19.335293,-99.252072
PRIMARIA,19.329689,-99.020025
SECUNDARIA,19.452933,-99.178336
PRIMARIA,19.3446,-99.109344
PRIMARIA,19.2896,-99.12811
SECUNDARIA,19.451967,-99.128518
SECUNDARIA,19.359,-99.0926
SECUNDARIA,19.481563,-99.206139
PRIMARIA,19.395161,-99.125201
SECUNDARIA,19.310192,-99.264996
PRIMARIA,19.339617,-99.152033
SECUNDARIA,19.345553,-99.06017
PRIMARIA,19.391705,-99.117258
PRIMARIA,19.40738,-99.195245
SECUNDARIA,19.434695,-99.096033
PRIMARIA,19.343416,-99.226739
INICIAL,19.432698,-99.180889
PRIMARIA,19.347787,-98.993008
SECUNDARIA,19.246846,-99.01022
PRIMARIA,19.206538,-99.070625
PRIMARIA,19.254898,-99.011799
PRIMARIA,19.448347,-99.201903
PRIMARIA,19.326346,-99.039619
PRIMARIA,19.34072,-99.098357
SECUNDARIA,19.292484,-99.070003
PREESCOLAR,19.362064,-99.152117
PRIMARIA,19.339716,-99.188356
SECUNDARIA,19.314311,-99.115578
PRIMARIA,19.483457,-99.200543
PREESCOLAR,19.312304,-99.169169
PRIMARIA,19.383372,-99.113671
SECUNDARIA,19.2883,-99.1671
PRIMARIA,19.394655,-99.097146
PRIMARIA,19.394619,-99.183917
PRIMARIA,19.48119,-99.184348
PRIMARIA,19.255209,-99.012994
PRIMARIA,19.393047,-99.147867
PRIMARIA,19.419959,-99.135797
PREESCOLAR,19.53785,-99.142147
PREESCOLAR,19.548535,-99.142502
PREESCOLAR,19.385686,-99.094703
PRIMARIA,19.342448,-99.145691
SECUNDARIA,19.271777,-99.235685
PRIMARIA,19.344542,-99.172798
PRIMARIA,19.306468,-99.233207
PRIMARIA,19.175582,-98.996661
PRIMARIA,19.289547,-99.005872
PRIMARIA,19.40838,-99.067089
PRIMARIA,19.455402,-99.092881
PRIMARIA,19.394156,-99.105548
PRIMARIA,19.3908,-99.1954
INICIAL,19.338901,-99.098036
PRIMARIA,19.345892,-99.172428
SECUNDARIA,19.384277,-99.044009
PRIMARIA,19.386509,-99.096613
PRIMARIA,19.365554,-99.236095
PRIMARIA,19.328453,-98.96977
PRIMARIA,19.438438,-99.125243
INICIAL,19.50999,-99.12658
PRIMARIA,19.39133,-99.201392
