nom_estab,raz_social,codigo_act,nombre_act,per_ocu,entidad,municipio,localidad,ageb,manzana,latitud,longitud
ABARROTES GUILLERMOXXO,NA,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,Ciudad de México,Benito Juárez,Benito Juárez,990,12,19.36118782,-99.15130522
ABARROTES KUINOXXO,NA,461150,"Comercio al por menor de leche, otros productos lácteos y embutidos",0 a 5 personas,Ciudad de México,Iztapalapa,Iztapalapa,5145,2,19.33100199,-99.06964913
LA VENTANITA DEL OXXO,NA,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,Ciudad de México,Iztapalapa,Iztapalapa,1509,21,19.35054664,-99.03847458
MINI OXXO,NA,461160,Comercio al por menor de dulces y materias primas para repostería,0 a 5 personas,Ciudad de México,Iztapalapa,Iztapalapa,1621,60,19.33943944,-99.06451951
OXXO,CADENA COMERCIAL OXXO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,Ciudad de México,Gustavo A. Madero,Gustavo A. Madero,2061,19,19.46369087,-99.11249703
OXXO,OXXO SA DE CV,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,Ciudad de México,Iztapalapa,Iztapalapa,159A,12,19.34162332,-99.07484735
OXXO 50IH6 CEDIS AZCAPOTZALCO MEX,CADENA COMERCIAL OXXO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,Ciudad de México,Azcapotzalco,Azcapotzalco,928,10,19.501277,-99.19581616
OXXO SUC 5002X CUAPINOL MEX,CADENA COMERCIAL OXXO SA DE CV,462112,Comercio al por menor en minisupers,6 a 10 personas,Ciudad de México,Coyoacán,Coyoacán,1162,11,19.33219036,-99.16926189
OXXO SUC 5004D FERNANDEZ MEX,CADENA COMERCIAL OXXO SA DE CV,462112,Comercio al por menor en minisupers,6 a 10 personas,Ciudad de México,Benito Juárez,Benito Juárez,238,13,19.39104889,-99.16621787
OXXO SUC 5005D SAN ANTONIO MEX,CADENA COMERCIAL OXXO SA DE CV,462112,Comercio al por menor en minisupers,6 a 10 personas,Ciudad de México,Cuauhtémoc,Cuauhtémoc,1163,8,19.41559002,-99.1344011
